,temperature,humidity,cloudy,windspeed,latitude,cities
0,83.87,71,88,5.19,-30.17,Cidreira
1,79.42,100,48,15.26,-23.12,Rikitea
2,29.92,100,88,14.92,50.68,Severo-Kurilsk
3,80.45,88,92,16.26,15.8,Barra Patuca
4,19.4,92,90,4.47,59.7,Nikolskoye
5,59.99,47,40,18.34,-54.81,Ushuaia
6,-20.21,75,20,16.11,69.44,Tuktoyaktuk
7,48.24,58,75,14.99,39.45,Saint George
8,58.9,88,0,2.17,15.34,Vaini
9,69.74,25,0,8.43,10.3,Birao
10,81.4,100,76,5.41,-0.6,Hithadhoo
11,11.47,95,92,34.38,65.58,Lavrentiya
12,58.72,83,92,4.18,-34.42,Hermanus
13,77.0,68,1,3.36,22.08,Kapaa
14,81.44,100,8,14.03,-3.28,Trairi
15,35.91,80,0,6.93,37.23,Termez
16,35.96,85,90,13.87,60.79,Bethel
17,78.08,66,1,9.17,19.71,Hilo
18,32.95,100,20,3.36,35.73,Hasaki
19,24.8,73,80,22.37,45.82,Iki-Burul
20,87.92,15,0,10.33,-43.3,Rawson
21,24.98,79,90,10.29,36.19,Springdale
22,77.0,69,20,3.36,-22.23,Mont-Dore
23,25.28,71,36,2.06,36.41,Dawlatabad
24,20.41,92,90,9.17,45.36,Saint-Philippe
25,84.2,66,75,12.75,4.94,Cayenne
26,77.0,94,75,1.12,1.56,Kuching
27,50.31,56,90,9.89,39.31,Port Elizabeth
28,73.48,86,20,15.48,-33.69,Chuy
29,66.2,55,76,5.82,-34.53,Bredasdorp
30,80.9,100,20,10.56,3.07,Butaritari
31,-14.64,61,56,2.62,54.43,Tupik
32,74.02,65,0,7.65,-33.21,Jamestown
33,71.35,83,8,9.17,-30.3,Coffs Harbour
34,-2.4,72,76,3.96,64.9,Leshukonskoye
35,59.0,77,48,11.41,-37.83,Mount Gambier
36,82.4,83,75,23.04,-21.21,Avarua
37,65.38,28,0,11.68,15.46,Abalak
38,64.4,59,20,18.34,-33.93,Cape Town
39,-20.98,100,0,7.87,77.48,Qaanaaq
40,86.0,55,0,23.04,-21.64,Sao Joao da Barra
41,66.2,52,0,9.17,-42.48,Castro
42,53.6,71,20,6.93,-42.88,Hobart
43,24.8,92,20,4.7,61.34,Hakkari
44,24.8,73,90,12.75,52.25,Mosina
45,66.11,34,0,16.11,-53.16,Punta Arenas
46,66.28,100,24,13.35,24.34,Ishigaki
47,50.17,85,92,14.36,-46.19,Mataura
48,46.57,87,0,0.6,9.56,Hargeysa
49,70.64,95,92,2.51,-8.93,Airai
50,63.53,100,64,21.97,-33.64,Busselton
51,77.39,46,0,12.91,-38.31,Barrow
52,78.8,41,0,9.66,-20.73,Mount Isa
53,76.9,100,92,3.4,6.37,Pundaguitan
54,79.15,82,64,7.09,-8.83,Luanda
55,97.87,48,24,4.63,-25.18,Carayao
56,75.82,32,0,8.43,-19.66,Nokaneng
57,78.52,100,32,16.71,-9.8,Atuona
58,70.42,100,12,18.95,-33.02,East London
59,0.49,53,32,3.62,39.23,Shitanjing
60,63.4,92,0,25.88,-28.55,Oranjemund
61,84.2,70,40,9.17,6.8,Georgetown
62,-34.8,64,44,3.29,71.97,Saskylakh
63,-0.41,44,40,3.36,69.22,Ilulissat
64,33.44,80,8,14.99,51.82,Goedereede
65,-5.01,97,68,10.33,69.7,Pevek
66,-1.95,59,36,2.39,40.29,Yumen
67,88.21,61,0,18.34,-22.97,Arraial do Cabo
68,26.6,73,90,18.34,65.61,Tasiilaq
69,48.55,87,100,11.68,41.42,Saldanha
70,78.7,92,92,5.86,-6.13,Soyo
71,69.07,88,100,4.07,13.06,Lahij
72,62.32,88,0,7.87,16.94,That Phanom
73,43.79,70,0,10.29,44.83,Saint-Augustin
74,31.32,97,0,5.82,52.47,Broome
75,46.7,32,0,6.76,20.2,Tessalit
76,72.76,77,0,3.18,-26.2,Gympie
77,74.33,62,12,3.4,5.02,Zemio
78,44.53,92,90,5.82,39.94,Zanesville
79,2.11,97,48,9.44,72.79,Upernavik
80,76.86,60,20,4.74,20.89,Kahului
81,82.4,65,75,11.01,-33.52,Trinidad
82,86.0,62,40,11.41,15.0,Iralaya
83,78.8,88,75,11.41,-23.87,Inhambane
84,61.88,41,1,5.82,34.64,Lompoc
85,68.12,94,44,14.03,-33.59,Port Alfred
86,66.23,90,56,2.28,-6.82,Karema
87,71.77,84,0,5.19,-23.58,Bluff
88,-18.01,79,44,3.18,68.75,Cherskiy
89,33.8,100,75,3.36,43.52,Mana
90,39.14,87,80,2.39,27.21,Hongjiang
91,81.35,56,44,3.18,7.99,Daru
92,53.6,71,20,6.93,-42.78,New Norfolk
93,77.93,97,64,10.89,-21.55,Tadine
94,70.96,100,8,13.58,26.56,Bandar-e Lengeh
95,30.82,84,0,12.24,45.43,Kropotkin
96,26.27,100,80,14.81,60.14,Nanortalik
97,11.2,93,32,12.24,47.24,Yenotayevka
98,-14.27,75,20,9.17,68.22,Aklavik
99,41.0,80,0,5.82,43.64,Krivodol
100,79.64,74,0,2.51,-20.74,Karratha
101,5.0,84,20,2.17,78.22,Longyearbyen
102,81.53,100,8,16.26,-4.97,Micheweni
103,-17.43,100,20,1.95,66.94,Sisimiut
104,86.53,70,88,8.66,-29.79,Taquari
105,46.88,87,0,2.84,29.19,Fort Abbas
106,75.55,18,0,13.02,-26.5,Bethanien
107,-27.41,74,20,2.24,62.45,Yellowknife
108,35.01,60,90,14.99,42.65,Albany
109,60.8,93,40,12.75,38.52,Ribeira Grande
110,60.8,31,20,6.93,8.96,Lebu
111,35.06,56,90,5.82,40.83,Elko
112,11.83,92,80,5.97,50.56,Husavik
113,76.04,100,92,23.09,13.32,San Andres
114,44.95,51,0,13.8,37.17,Sitka
115,-34.89,65,36,2.95,71.98,Khatanga
116,17.32,91,0,1.72,30.78,Lata
117,66.2,88,0,2.24,17.65,Yarada
118,55.4,93,75,12.75,41.53,Barcelos
119,51.52,96,0,3.62,18.42,Narasannapeta
120,1.07,100,64,5.19,73.51,Dikson
121,72.22,92,44,13.8,14.9,Sao Filipe
122,46.4,87,75,5.82,50.7,Port Hardy
123,82.07,100,68,7.54,-2.57,Kavieng
124,51.52,76,0,3.62,25.52,Tura
125,23.45,92,90,9.17,45.19,Napierville
126,-29.94,47,32,2.39,66.42,Udachnyy
127,26.9,66,0,4.41,33.57,Luohe
128,-9.41,63,20,16.11,55.1,La Ronge
129,69.8,43,40,28.86,-1.64,La Asuncion
130,75.92,68,1,6.93,21.35,Makakilo City
131,71.27,33,8,7.09,9.65,Tokonou
132,71.6,56,0,12.75,-27.37,Copiapo
133,-6.63,88,64,2.73,69.49,Talnakh
134,77.92,78,75,3.36,5.42,George Town
135,46.97,95,20,4.41,30.6,Ismailia
136,68.0,64,0,12.75,-29.95,Coquimbo
137,80.45,64,12,6.76,-16.77,Cristalina
138,58.14,67,0,0.94,18.22,Abha
139,93.2,21,20,11.41,-17.12,Bocaiuva
140,15.8,78,90,4.7,51.26,Moose Factory
141,64.21,75,0,9.78,17.48,Sawang Daen Din
142,-22.01,74,20,3.36,66.15,Pangnirtung
143,74.35,53,5,9.17,22.89,Cabo San Lucas
144,32.0,100,68,2.24,57.47,Boddam
145,82.4,61,40,20.8,13.22,Bathsheba
146,60.8,82,75,10.29,37.72,Vila Franca do Campo
147,24.8,45,75,4.74,60.91,Narsaq
148,56.37,44,1,6.2,37.46,Half Moon Bay
149,48.91,88,0,1.95,25.18,Mahur
150,81.98,100,8,11.68,-23.78,Ilhabela
151,28.24,70,75,3.4,50.11,Abbeville
152,-16.61,75,20,6.93,60.82,Hay River
153,80.6,78,40,3.36,-19.98,Cap Malheureux
154,58.13,100,0,3.62,11.47,Qandala
155,84.2,66,20,17.22,-5.2,Touros
156,34.42,87,48,2.39,28.26,Jishou
157,49.62,89,90,4.7,40.8,Eureka
158,-40.92,0,0,4.97,71.64,Tiksi
159,-5.91,71,44,7.54,53.19,Kamenka
160,-47.76,0,44,2.95,70.0,Ust-Kuyga
161,1.3,62,8,2.17,38.65,Saray
162,28.43,96,80,4.07,46.03,Pellerd
163,-5.28,84,68,4.97,66.83,Yar-Sale
164,82.4,78,40,9.17,-19.06,Alofi
165,52.82,95,20,1.39,-6.28,Ialibu
166,-35.2,67,32,3.18,68.54,Belaya Gora
167,77.71,24,0,12.68,-24.83,Maltahohe
168,75.32,94,48,12.01,11.0,Dingle
169,61.78,90,0,2.95,15.47,Nandyal
170,-24.72,75,44,2.39,67.46,Srednekolymsk
171,23.14,84,1,9.17,39.95,Kodiak
172,69.2,97,76,2.39,8.0,Marawi
173,55.4,50,0,10.29,27.27,Abnub
174,81.08,39,100,4.74,-23.98,Dutlwe
175,78.8,94,90,8.05,0.61,Muisne
176,8.54,86,92,14.47,60.02,Syamzha
177,84.77,29,0,3.06,18.62,Coahuayana
178,-9.51,86,56,15.26,69.38,Leningradskiy
179,45.81,70,90,11.41,39.62,Vardo
180,9.54,78,90,8.05,51.43,Crossfield
181,19.4,92,68,3.36,58.35,Uddevalla
182,55.6,59,40,6.93,37.61,Pacifica
183,-0.15,77,56,2.73,60.75,Haines Junction
184,44.6,93,20,2.24,27.63,Banepa
185,84.05,96,92,19.73,-16.7,Fare
186,73.48,93,80,3.85,7.69,Sagacad
187,4.4,46,24,2.73,40.43,Fengzhen
188,59.0,26,0,10.29,27.87,Adrar
189,68.12,29,0,15.26,-30.97,Carnarvon
190,82.79,100,68,10.67,-3.66,Namatanai
191,26.06,85,75,10.29,71.03,Mehamn
192,87.29,39,12,2.17,5.36,La Palma
193,24.26,49,20,13.87,68.5,Melbu
194,73.07,35,0,11.23,27.97,Guerrero Negro
195,12.2,78,90,3.36,49.72,Geraldton
196,81.22,25,24,19.17,-46.43,Mar del Plata
197,4.94,84,80,6.98,61.28,Yerbogachen
198,13.94,63,0,2.39,37.39,Maragheh
199,76.72,100,0,9.1,6.12,Hambantota
200,5.98,68,0,12.24,51.11,Aginskoye
201,32.0,95,90,10.29,48.95,Saint-Pierre
202,-3.88,57,0,2.62,48.81,Bulgan
203,38.98,100,90,4.7,55.34,Ketchikan
204,73.4,88,0,3.36,10.57,Kiranur
205,64.07,90,0,2.28,21.43,Mecca
206,26.51,79,75,5.82,49.28,Sankt Ingbert
207,77.84,100,32,29.8,21.46,Cockburn Town
208,18.89,89,76,8.21,47.8,Zhezkazgan
209,69.8,56,40,19.46,-0.93,La Mana
210,62.38,68,75,16.11,28.5,Puerto del Rosario
211,73.34,97,8,3.4,-13.19,Ambilobe
212,57.2,76,20,14.99,37.14,Lagoa
213,-0.41,59,12,4.47,44.15,Jiutai
214,65.11,86,8,12.46,-34.0,Kruisfontein
215,78.29,99,56,2.17,-9.43,Honiara
216,37.4,86,20,3.4,51.04,Northam
217,33.98,43,1,6.93,37.35,Cortez
218,60.8,82,75,10.29,37.73,Ponta Delgada
219,71.6,100,75,4.7,-31.42,Villa Carlos Paz
220,-1.23,75,64,2.62,46.45,Vostok
221,71.95,33,0,7.99,13.64,Moussoro
222,78.87,73,20,12.75,18.22,The Valley
223,82.4,21,0,13.87,-45.87,Comodoro Rivadavia
224,-17.79,75,68,2.62,68.06,Bilibino
225,36.88,100,90,10.29,44.08,Shelburne
226,97.82,58,0,1.39,-23.13,San Ramon de la Nueva Oran
227,49.18,94,92,17.05,-46.28,Kaitangata
228,80.72,73,32,1.5,-20.63,Ponta do Sol
229,0.76,73,68,4.74,57.05,Yelovo
230,64.4,25,32,4.7,24.63,Riyadh
231,-23.81,74,40,2.24,63.75,Iqaluit
232,50.3,85,0,7.43,25.33,Mangrol
233,7.41,85,20,4.07,64.86,College
234,68.0,100,75,5.82,-34.58,Flinders
235,80.05,100,64,5.75,-2.02,Lorengau
236,25.51,99,88,4.18,34.57,Beidao
237,87.38,58,0,10.0,8.64,Barinas
238,57.77,72,0,2.62,9.5,NEDJO
239,4.22,74,76,5.41,49.6,Manzhouli
240,-30.88,53,48,5.97,70.62,Chokurdakh
241,21.96,92,75,3.36,63.84,Grindavik
242,69.8,52,0,5.82,17.01,Salalah
243,23.0,92,76,8.95,57.46,Pleshanovo
244,-24.31,36,44,5.75,63.29,Nyurba
245,38.21,80,90,11.41,45.6,Souillac
246,74.89,24,20,5.82,-0.39,San Cristobal
247,80.6,78,75,16.11,-0.74,Puerto Ayora
248,81.4,74,24,4.97,7.53,Bonthe
249,-19.59,84,88,2.73,60.89,Amga
250,13.04,83,64,6.98,55.67,Bolotnoye
251,35.69,63,90,10.29,42.59,Greenfield
252,73.12,73,48,9.89,-35.1,Kaeo
253,80.5,65,92,11.68,22.2,Guane
254,87.8,31,20,6.31,8.5,Ilorin
255,48.22,52,0,9.17,41.43,Horta
256,24.8,71,1,9.17,40.8,Lincoln
257,50.0,43,0,26.4,41.19,Ardesen
258,35.68,83,0,8.99,31.71,Yicheng
259,23.0,73,40,14.99,61.32,Ovre Ardal
260,58.81,100,24,3.18,25.02,Umm Lajj
261,24.8,73,20,11.41,47.66,Torbay
262,14.0,78,90,4.7,49.78,Chapais
263,82.21,75,68,15.82,-35.66,General Pico
264,80.54,100,88,3.62,-4.34,Kokopo
265,-29.21,73,20,6.93,70.47,Clyde River
266,83.38,86,48,2.06,-9.91,Ariquemes
267,75.2,53,0,3.36,-33.04,Whyalla
268,84.2,70,0,16.11,-6.09,Nisia Floresta
269,41.34,89,90,11.41,41.28,Nantucket
270,55.4,82,0,11.41,41.29,Samsun
271,8.72,78,0,4.97,56.08,Chunskiy
272,93.18,34,20,19.46,10.9,Distraccion
273,66.46,100,0,13.02,24.8,Hirara
274,19.4,57,90,4.7,46.17,Montague
275,83.33,65,8,12.46,-2.92,Itarema
276,81.31,100,0,8.32,10.57,Kavaratti
277,37.4,100,92,3.36,62.23,Klaksvik
278,29.66,86,0,4.7,54.08,Bridlington
279,39.92,100,40,9.17,38.1,Leopold
280,18.31,86,76,11.23,58.5,Pankovka
281,24.7,100,80,3.29,36.66,Tateyama
282,80.6,78,40,3.36,-20.21,Quatre Cocos
283,84.2,58,20,14.99,10.24,Esperance
284,19.4,73,0,20.8,64.25,Snasa
285,46.4,65,0,2.24,40.94,Bulancak
286,66.2,52,0,9.17,-41.87,Ancud
287,77.0,53,75,11.41,-34.91,Maldonado
288,71.6,30,0,9.17,-13.71,Pisco
289,82.97,69,44,8.66,-1.82,Cururupu
290,59.0,67,92,34.45,36.75,Milos
291,17.45,88,88,2.62,56.29,Abatskoye
292,-2.94,48,0,5.86,54.17,Ust-Uda
293,34.78,74,0,3.96,34.62,Tikrit
294,78.8,54,75,19.46,18.49,Hatillo
295,20.87,91,88,11.45,51.1,Derzhavinsk
296,86.62,37,56,8.1,-6.44,Acari
297,47.56,78,80,4.18,-45.41,Te Anau
298,-29.85,46,44,2.73,65.95,Aykhal
299,32.0,72,0,9.17,35.24,Kijang
300,-2.76,47,24,6.42,55.15,Turgoyak
301,38.19,58,40,16.11,33.16,Mount Pleasant
302,75.2,88,0,3.36,-28.0,Gold Coast
303,63.5,39,40,19.46,38.18,Fortuna
304,5.17,80,0,1.72,55.07,Valleyview
305,80.6,78,40,3.36,-20.41,Mahebourg
306,48.25,20,1,2.84,36.04,Henderson
307,26.82,68,90,13.87,43.97,Saint Anthony
308,35.0,93,20,9.44,45.65,Grivenskaya
309,81.08,85,56,14.03,11.28,Bubaque
310,48.95,100,0,16.26,33.72,Shingu
311,5.93,81,0,23.53,59.24,Ossora
312,77.62,100,44,14.14,11.2,Sambulawan
313,10.79,82,76,5.64,61.68,Baykit
314,12.2,92,90,26.4,60.72,Whitehorse
315,-11.26,73,64,7.76,67.55,Komsomolskiy
316,68.93,100,80,3.62,-2.95,Kindu
317,22.46,62,75,4.7,43.88,Onalaska
318,83.33,100,80,17.72,-16.48,Faanui
319,79.96,86,20,5.97,16.21,San Mateo del Mar
320,62.27,19,0,4.18,30.78,Imuris
321,88.1,35,64,7.76,-17.29,Turmalina
322,15.38,76,68,7.43,42.84,Hami
323,78.52,100,56,13.47,-19.55,Isangel
324,-14.81,68,90,3.36,63.59,Mayo
325,57.01,88,48,22.97,31.21,Surt
326,75.68,100,88,19.62,13.78,Gigmoto
327,77.17,77,64,5.41,6.87,Yaring
328,81.4,59,32,18.5,-34.72,Port Lincoln
329,84.2,66,75,12.75,5.01,Macouria
330,71.09,93,64,11.79,-35.62,Ngunguru
331,23.48,95,88,9.44,59.1,Vao
332,69.97,58,32,2.84,14.97,Savanur
333,78.8,88,20,5.08,4.73,Bugama
334,-13.01,62,20,16.11,55.74,Thompson
335,37.4,75,75,3.36,34.43,Hagi
336,32.0,87,90,2.24,43.06,Benoy
337,68.93,40,20,4.97,6.75,Banyo
338,73.34,89,36,6.64,-20.07,Charters Towers
339,75.2,88,90,6.93,-31.43,Port Macquarie
340,77.03,100,88,8.88,-9.11,Atambua
341,79.82,51,48,3.29,6.39,Wum
342,84.2,89,75,3.36,6.46,Lagos
343,76.08,94,90,8.05,4.75,Limbang
344,27.36,85,0,10.29,62.91,Bud
345,69.92,89,76,10.78,-35.17,Ahipara
346,86.0,66,20,4.7,16.99,Tecoanapa
347,87.8,55,20,18.34,-17.73,Tautira
348,55.63,62,20,11.41,34.92,Lasa
349,71.95,46,0,6.87,-23.32,Giyani
350,82.4,78,20,13.87,-12.9,Boueni
351,38.75,45,20,18.34,35.74,Nishihara
352,66.45,68,75,14.99,33.56,Aiken
353,81.89,100,8,4.41,-0.92,Padang
354,60.8,59,75,11.41,32.3,Hamilton
355,79.06,82,64,12.8,-3.94,Tanete
356,44.5,38,24,4.85,22.68,Taoudenni
357,53.41,45,0,11.68,29.03,Jalu
358,84.2,89,75,3.36,6.63,George
359,-9.73,69,56,5.97,65.53,Nadym
360,51.02,100,80,15.03,-46.13,Tuatapere
361,54.8,37,8,7.2,18.74,Arlit
362,82.7,99,8,13.02,11.67,Port Blair
363,62.6,59,75,10.29,28.66,Los Llanos de Aridane
364,-4.65,81,64,3.85,67.47,Tazovskiy
365,2.46,85,20,4.07,64.84,Fairbanks
366,63.98,63,0,26.22,-26.65,Luderitz
367,78.61,100,0,20.74,2.04,Mogadishu
368,75.2,88,75,5.08,7.04,Kloulklubed
369,54.55,34,1,6.93,27.75,Alice
370,-30.21,50,20,3.74,63.75,Vilyuysk
371,32.07,86,90,2.24,45.06,Batie
372,73.43,100,92,4.85,12.22,Alugan
373,12.2,92,90,24.61,64.42,Provideniya
374,73.03,44,0,3.18,9.66,Lere
375,88.29,61,0,18.34,-22.65,Caxito
376,75.96,74,1,10.29,21.5,Wahiawa
377,53.6,54,75,11.41,-13.74,Matara
378,12.77,85,44,3.4,63.05,Rindal
379,29.82,98,75,2.24,45.18,Vila
380,92.38,57,8,4.18,8.17,Tierralta
381,44.6,87,40,3.36,40.92,Olbia
382,81.98,100,0,13.8,-17.73,Caravelas
383,46.4,61,75,17.22,33.93,Katsuura
384,48.2,76,20,13.87,36.22,Antakya
385,58.64,22,1,16.11,27.49,Nuevo Laredo
386,69.47,100,12,4.07,22.57,Sur
387,-4.92,84,32,1.28,39.77,Jiayuguan
388,64.3,94,24,2.62,-11.78,Luena
389,1.48,81,48,8.43,55.33,Shimorskoye
390,78.06,44,0,11.41,-34.55,Leeton
391,1.97,72,44,2.28,50.59,Bichura
392,33.08,84,90,4.7,48.2,Kalispell
393,52.28,81,0,2.95,20.33,Chandvad
394,69.47,96,32,1.72,-2.54,Labuhan
395,77.53,100,80,5.97,7.71,Batticaloa
396,19.3,85,76,2.84,58.18,Motygino
397,47.07,76,75,10.29,38.03,Charlottesville
398,84.2,66,20,24.16,12.52,Oranjestad
399,-18.41,75,20,2.24,65.28,Norman Wells
400,51.1,26,1,13.87,30.3,Harper
401,80.6,74,0,6.76,16.89,Jizan
402,43.15,77,0,2.73,26.0,Turbat
403,51.52,100,0,17.27,34.7,Shimoda
404,75.32,93,92,4.85,-8.11,Singaraja
405,44.06,87,75,3.36,41.89,Rome
406,10.4,55,0,4.47,43.19,Barabash
407,70.73,97,64,13.02,-36.83,Whitianga
408,2.83,76,44,2.95,47.83,Altay
409,-10.23,50,0,7.76,51.94,Arbagar
410,75.95,55,0,2.17,8.76,Barinitas
411,51.8,66,0,10.29,31.35,Marsa Matruh
412,78.2,66,24,7.09,10.18,Boffa
413,59.57,94,20,5.19,23.8,Baghmara
414,75.88,94,90,8.05,5.28,Victoria
415,81.13,66,24,4.41,1.61,Ouesso
416,62.6,33,5,2.62,17.54,Najran
417,31.23,89,90,9.17,41.47,Valparaiso
418,83.65,100,48,10.22,-10.46,Kirakira
419,53.5,47,0,12.24,29.14,Awjilah
420,80.05,52,0,3.96,23.92,La Cruz
421,69.47,62,0,3.06,8.4,Tchollire
422,79.42,100,64,7.99,1.58,Mbini
423,18.08,84,88,15.7,50.74,Romny
424,82.4,69,40,18.34,21.23,Isla Mujeres
425,3.2,84,40,6.71,61.04,Megion
426,51.8,81,0,3.36,31.63,Marrakesh
427,72.98,79,0,3.74,-30.6,Ovalle
428,-7.61,83,40,3.36,58.81,Fort Nelson
429,19.4,67,0,2.24,39.4,Pulandian
430,70.64,51,20,2.17,-24.59,Thabazimbi
431,84.2,70,5,9.17,15.86,Puerto Escondido
432,48.2,81,40,1.12,38.47,Lipari
433,-14.5,66,68,2.73,66.56,Aksarka
434,44.27,100,92,30.69,43.74,Goderich
435,-0.41,84,20,8.05,62.78,Sola
436,78.8,9,5,17.22,27.52,Laguna
437,62.51,72,90,13.87,34.88,Havelock
438,44.42,64,75,6.93,33.63,Miyako
439,90.35,29,0,6.53,-13.79,Cavalcante
440,47.6,78,0,3.74,22.93,Nizwa
441,19.21,91,80,7.2,54.91,Bulaevo
442,73.66,100,92,5.08,13.13,Puro
443,32.0,97,0,5.82,52.61,Great Yarmouth
444,-21.25,50,0,4.07,50.6,Kungurtug
445,84.2,66,0,12.75,-3.71,Vila Velha
446,1.83,84,75,4.47,55.61,Oktyabrskiy
447,74.01,94,90,3.4,-28.95,Codrington
448,73.7,27,0,6.87,9.27,Bouna
449,92.87,68,76,1.16,-26.98,San Patricio
450,51.7,71,0,7.31,24.09,Aswan
451,19.4,57,90,4.7,46.36,Souris
452,8.23,71,0,6.42,51.29,Niesky
453,82.12,100,68,9.1,-1.57,Omboue
454,79.55,100,80,6.53,-3.31,Amahai
455,55.31,68,1,4.7,26.35,Gushikawa
456,49.04,81,0,2.84,20.27,Silvassa
457,80.09,100,0,7.76,3.78,Mahibadhoo
458,-4.02,78,64,4.85,65.44,Ust-Tsilma
459,74.02,22,36,5.08,-29.31,Maseru
460,24.8,73,20,11.41,47.58,Bay Roberts
461,0.58,100,8,3.96,59.36,Okhotsk
462,10.07,86,80,0.49,35.92,Gilgit
463,37.66,90,0,10.0,35.59,Sinjar
464,33.8,80,40,5.82,45.16,Mantua
465,78.25,50,0,4.97,25.34,Nacozari
466,96.8,50,90,6.93,-27.46,Punta Alta
467,60.8,44,75,14.99,36.62,Fethiye
468,57.55,82,76,8.43,-39.94,Waipawa
469,80.6,83,20,8.32,6.33,Monrovia
470,75.2,83,40,5.82,-6.04,Msanga
471,-11.21,76,20,2.62,68.85,Molochnyy
472,55.4,24,5,4.7,23.99,Constitucion
473,75.5,100,0,9.66,11.28,Bosaso
474,13.67,87,64,7.43,52.25,Klyuchi
475,-0.41,44,40,3.36,68.82,Qasigiannguit
476,74.15,97,8,3.62,5.56,Banda Aceh
477,72.07,53,40,18.34,33.19,Avera
478,78.43,100,12,4.63,4.14,Meulaboh
479,10.4,39,0,4.47,40.71,Zhuhai
480,81.44,100,64,11.12,0.53,Thinadhoo
481,84.91,61,12,7.76,7.7,Labe
482,-26.43,41,20,2.95,65.4,Muzhi
483,28.4,86,90,3.36,52.98,Quesnel
484,79.64,100,80,7.43,-15.51,Luganville
485,76.81,100,20,16.71,12.79,Aden
486,82.66,82,44,3.74,-1.77,Oriximina
487,-15.18,76,20,8.05,68.36,Inuvik
488,71.41,93,64,2.84,-2.68,Pangkalanbuun
489,17.17,65,40,6.93,46.77,Duluth
490,10.07,83,68,11.23,48.23,Verkhniy baskunchak
491,55.53,71,0,2.24,31.8,Gizo
492,87.8,33,48,4.41,-25.24,Yulara
493,48.1,39,0,6.64,18.9,Araouane
494,64.89,37,40,9.17,-45.58,Coihaique
495,21.2,73,90,6.08,45.62,Port Hawkesbury
496,40.63,90,0,8.99,34.45,Abu Kamal
497,8.86,84,48,10.0,46.68,Baruun-Urt
498,70.82,24,8,9.33,13.05,Dosso
499,51.87,100,90,10.29,42.77,Muros
500,22.22,84,36,2.73,54.23,Burns Lake
501,80.6,28,0,2.24,16.65,Podor
502,39.2,100,90,4.7,53.8,Westport
503,75.2,47,0,9.17,-36.72,Talcahuano
504,41.48,79,0,1.83,14.28,Aras
505,74.56,93,64,11.68,-24.69,Ampanihy
506,6.8,92,90,3.29,53.6,Belyy Yar
507,80.6,78,40,3.36,-20.01,Grand Gaube
508,52.96,93,0,1.61,29.7,Tiznit
509,86.0,66,75,5.82,-2.03,Olinda
510,80.99,100,0,9.66,9.54,Ko Samui
511,54.89,30,0,3.74,20.52,Atar
512,23.93,92,92,15.48,49.59,Poltava
513,0.31,71,12,3.4,56.17,Magistralnyy
514,35.6,100,56,9.17,60.4,Brae
515,55.4,100,0,2.84,28.58,Dwarka
516,86.98,25,0,7.76,-34.61,San Rafael
517,51.7,65,76,1.95,28.17,Along
518,66.37,73,64,3.06,-8.19,Camabatela
519,5.17,57,0,4.29,43.31,Wangqing
520,66.77,40,0,2.51,5.83,Corrales
521,11.69,100,48,7.2,48.62,Makarov
522,77.0,94,90,4.7,-0.9,Puerto Baquerizo Moreno
523,67.94,59,0,3.18,10.31,Miri
524,83.83,55,0,3.85,19.93,Tomatlan
525,-4.04,84,0,9.17,69.65,Tromso
526,50.18,88,90,7.2,36.59,Danville
527,17.32,91,0,1.72,30.38,Tehri
528,55.4,93,75,13.87,39.36,Peniche
529,57.05,15,0,4.29,27.69,Camargo
530,0.4,74,64,2.73,63.61,Samoded
531,49.22,81,12,3.06,26.48,Bongaigaon
532,73.21,100,92,6.64,-5.21,Madang
533,73.4,88,12,3.36,-23.13,Yeppoon
534,73.48,38,0,3.51,5.69,Baoro
535,53.74,66,75,9.17,45.52,Portland
536,67.63,88,0,1.16,12.07,Kui Buri
537,33.8,86,20,6.71,39.84,Isfana
